"ITTER107","Territorio","TIPO_DATO4","Tipologia aggregato","BRANCA_ATTIVITAREV2","Ateco 2007","INQUINANTI","Elementi inquinanti/temi ambientali","FREQUENCY","Periodicità","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","PM2_5","particolato fine","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","CD","cadmio (Cd)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","HG","mercurio (Hg)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","PFC","perfluorocarburi","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEEIS_T","emissioni atmosferiche - temi ambientali","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","GRHO","effetto serra (ton di CO2 equivalenti)","A","annuale","2021M1","Gen-2021","2019","2019",60017708.2,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","PM2_5","particolato fine","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","CD","cadmio (Cd)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","HG","mercurio (Hg)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","SE","selenio (Se)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","PFC","perfluorocarburi","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
